"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.3389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.5819,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.7361,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.755,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.7923,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.8076,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.6943,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.5497,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.503,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.5294,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4969,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.4704,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4586,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5006,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6028,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6514,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7614,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.8822,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.9277,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.9862,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",101.0197,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",101.0302,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",101.0566,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.9839,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.772,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5135,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3151,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2709,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3303,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.4476,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.4773,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.5823,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.8294,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.0833,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.2259,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.3074,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.3736,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.4745,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.5085,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.4661,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.3815,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.4346,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.5706,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.6417,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.6314,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.629,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.5993,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.6102,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.5922,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.5677,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.549,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.5023,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.4421,
